datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,0.81,0.0,3,13,16
2011-01-01 03:00:00,1,0,0,1,9.84,13.635,0.8,0.0,1,8,9
2011-01-01 06:00:00,1,0,0,1,9.02,10.69,0.65,6.0032,1,5,6
2011-01-01 09:00:00,1,0,1,1,9.02,12.365,0.51,11.0014,8,32,40
2011-01-01 12:00:00,1,0,1,1,13.12,14.395,0.52,16.9979,12,40,52
2011-01-01 15:00:00,1,0,1,1,15.58,16.665,0.48,19.9995,26,70,96
2011-01-01 18:00:00,1,0,1,2,14.76,16.665,0.62,19.0012,29,88,117
2011-01-01 21:00:00,1,0,0,2,13.94,15.91,0.65,19.9995,18,54,72
2011-01-02 00:00:00,1,0,0,1,13.94,17.425,0.66,16.9979,7,24,31
2011-01-02 03:00:00,1,0,0,1,13.12,16.665,0.71,19.0012,3,13,16
